Year,Month,Category,Market Shart,Make,Model,Private,Government - Federal,Government - State,Government - Local,Rental,Not For Profit,Company Capitalisation,Taxi,Fleet - Large,Fleet,59 (Unknown),59 = FLEET,Count 59 = fleet,Total
2022,June,Micro,FALSE,Fiat,500/Abarth,4,,,,,,,,,0,0,FALSE,0,4
2022,June,Micro,FALSE,Kia,Picanto,20,,,,39,,,,,2,1,FALSE,0,61
2022,June,Micro,FALSE,Mitsubishi,Mirage,6,,,,3,,,,,0,0,FALSE,0,9
2022,June,Light < $25k,FALSE,Hyundai,i20,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Light < $25k,FALSE,Kia,Rio,34,,,,5,,,,,3,1,FALSE,0,42
2022,June,Light < $25k,FALSE,Mazda2,Mazda 2,23,,,,,,,,,9,5,FALSE,0,32
2022,June,Light < $25k,FALSE,MG,MG3,155,,,,18,,1,,,27,4,FALSE,0,201
2022,June,Light < $25k,FALSE,Skoda,Fabia,,,,,,,,,,1,0,FALSE,0,1
2022,June,Light < $25k,FALSE,Suzuki,Baleno,20,,,,,,,,,5,2,FALSE,0,25
2022,June,Light < $25k,FALSE,Suzuki,Swift,48,,,,,,,,,8,2,FALSE,0,56
2022,June,Light < $25k,FALSE,Toyota,Yaris,10,,,,10,,,,1,3,1,FALSE,0,24
2022,June,Light < $25k,FALSE,Volkswagen,Polo,12,,,,,,,,,2,1,FALSE,0,14
2022,June,Light > $25k,FALSE,Audi,A1,3,,,,,,,,,2,1,FALSE,0,5
2022,June,Light > $25k,FALSE,MINI,Mini Hatch,18,,,,,,,,,1,1,TRUE,1,19
2022,June,Small < $40k,FALSE,Ford,Focus,2,,,,,,,,,0,0,FALSE,0,2
2022,June,Small < $40k,FALSE,Honda,Civic,7,,,,,,,,,1,0,FALSE,0,8
2022,June,Small < $40k,FALSE,Hyundai,i30,156,,6,,12,,,,,58,2,FALSE,0,232
2022,June,Small < $40k,FALSE,Hyundai,Ioniq,2,,1,10,,,,,,1,1,TRUE,1,14
2022,June,Small < $40k,FALSE,Kia,Cerato,95,,,,3,,,,1,10,0,FALSE,0,109
2022,June,Small < $40k,FALSE,Mazda3,Mazda 3,50,,,,,,,,,10,5,FALSE,0,60
2022,June,Small < $40k,FALSE,Skoda,Scala,1,,,,,,,,,3,3,TRUE,1,4
2022,June,Small < $40k,FALSE,Subaru,Impreza,18,,,,,,,,,10,0,FALSE,0,28
2022,June,Small < $40k,FALSE,Subaru,WRX,3,,,,,,,,,4,0,FALSE,0,7
2022,June,Small < $40k,FALSE,Toyota,Corolla,91,,,,17,2,,,5,15,6,FALSE,0,130
2022,June,Small < $40k,FALSE,Volkswagen,Golf,14,,,,,,,,,1,1,TRUE,1,15
2022,June,Small > $40k,FALSE,Audi,A3,6,,,,,,,,,7,2,FALSE,0,13
2022,June,Small > $40k,FALSE,BMW,1 Series,7,,,,,,,,,5,5,TRUE,1,12
2022,June,Small > $40k,FALSE,BMW,2 Series Gran Coupe,7,,,,,,,,,2,2,TRUE,1,9
2022,June,Small > $40k,FALSE,Mercedes-Benz,A-Class,12,,,,,,,,,5,0,FALSE,0,17
2022,June,Small > $40k,FALSE,MINI,Clubman,4,,,,,,,,,0,0,FALSE,0,4
2022,June,Small > $40k,FALSE,Nissan,Leaf,2,,,,,,,,,0,0,FALSE,0,2
2022,June,Medium < $60k,FALSE,Honda,Accord,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Medium < $60k,FALSE,Hyundai,Sonata,5,,,,,,,,,1,1,TRUE,1,6
2022,June,Medium < $60k,FALSE,Mazda6,Mazda 6,3,,,,,,,,,1,1,TRUE,1,4
2022,June,Medium < $60k,FALSE,Peugeot,508,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Medium < $60k,FALSE,Skoda,Octavia,1,,,,,,,,,7,7,TRUE,1,8
2022,June,Medium < $60k,FALSE,Toyota,Camry,23,,,,,,,,,9,0,FALSE,0,32
2022,June,Medium < $60k,FALSE,Volkswagen,Passat,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Medium < $60k,FALSE,,,,,,,,,,,,0,0,FALSE,0,
2022,June,Medium > $60k,FALSE,Audi,A4,2,,,,,,,,,4,4,TRUE,1,6
2022,June,Medium > $60k,FALSE,Audi,A5 Sportback,1,,,,,,,,,3,1,FALSE,0,4
2022,June,Medium > $60k,FALSE,BMW,3 Series,15,,,,,,,,,2,2,TRUE,1,17
2022,June,Medium > $60k,FALSE,BMW,4 Series Gran Coupe,5,,,,,,,,,1,1,TRUE,1,6
2022,June,Medium > $60k,FALSE,Jaguar,XE,2,,,,,,,,,1,0,FALSE,0,3
2022,June,Medium > $60k,FALSE,Lexus,ES,2,,,,,,,,,8,6,FALSE,0,10
2022,June,Medium > $60k,FALSE,Mercedes-Benz,C-Class,15,,,,,,,,,6,0,FALSE,0,21
2022,June,Medium > $60k,FALSE,Mercedes-Benz,CLA-Class,7,,,,,,,,,5,0,FALSE,0,12
2022,June,Medium > $60k,FALSE,Polestar,Polestar 2,3,,,,,,,,,0,0,FALSE,0,3
2022,June,Medium > $60k,FALSE,Tesla,Model 3,86,,,,,,,,,46,0,FALSE,0,132
2022,June,Medium > $60k,FALSE,Volkswagen,Arteon,1,,,,,,,,,1,0,FALSE,0,2
2022,June,Medium > $60k,FALSE,Volvo,S60,3,,,,,,,,,1,1,TRUE,1,4
2022,June,Medium > $60k,FALSE,Volvo,V60 Cross Country,1,,,,,,,,,1,1,TRUE,1,2
2022,June,Large < $70k,FALSE,Kia,Stinger,18,,,,,,,,,8,2,FALSE,0,26
2022,June,Large < $70k,FALSE,Skoda,Superb,1,,,,,,,,,3,3,TRUE,1,4
2022,June,Large > $70k,FALSE,Audi,A6,,,,,,,,,,5,4,FALSE,0,5
2022,June,Large > $70k,FALSE,Audi,A7,,,,,,,,,,1,1,TRUE,1,1
2022,June,Large > $70k,FALSE,BMW,5 Series,3,,,,,,,,,1,1,TRUE,1,4
2022,June,Large > $70k,FALSE,Genesis,G80,,,,,,,,,,1,0,FALSE,0,1
2022,June,Large > $70k,FALSE,Maserati,Ghibli,2,,,,,,,,,3,3,TRUE,1,5
2022,June,Large > $70k,FALSE,Mercedes-Benz,E-Class,,,,,,,,,,1,0,FALSE,0,1
2022,June,Large > $70k,FALSE,Porsche,Taycan,8,,,,,,,,,3,3,TRUE,1,11
2022,June,Upper Large < $100k,FALSE,Chrysler,Chrysler 300,,,,,,,,,,1,1,TRUE,1,1
2022,June,Upper Large > $100k,FALSE,Bentley,Bentley Sedan,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Upper Large > $100k,FALSE,BMW,7 Series,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Upper Large > $100k,FALSE,BMW,8 Series Gran Coupe,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Upper Large > $100k,FALSE,Lexus,Lexus LS,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Upper Large > $100k,FALSE,Mercedes-Benz,S-Class,4,,,,,,,,,1,0,FALSE,0,5
2022,June,Upper Large > $100k,FALSE,Porsche,Panamera,1,,,,,,,,,0,0,FALSE,0,1
2022,June,People Movers < $60k,FALSE,Honda,Odyssey,10,,,,,,,,,0,0,FALSE,0,10
2022,June,People Movers < $60k,FALSE,Hyundai,Staria,10,,,,6,,,,,4,0,FALSE,0,20
2022,June,People Movers < $60k,FALSE,Kia,Carnival,22,,1,,52,,,,16,2,1,FALSE,0,93
2022,June,People Movers < $60k,FALSE,LDV,G10 Wagon,2,,,,,,,,,7,0,FALSE,0,9
2022,June,People Movers < $60k,FALSE,Volkswagen,Caddy,1,,,,,,,,,0,0,FALSE,0,1
2022,June,People Movers > $60k,FALSE,Mercedes-Benz,V-Class,3,,,,,,,,,3,0,FALSE,0,6
2022,June,People Movers > $60k,FALSE,Mercedes-Benz,Valente,1,,,,,,,,,1,0,FALSE,0,2
2022,June,People Movers > $60k,FALSE,Toyota,Granvia,,,,,,,,,,1,0,FALSE,0,1
2022,June,Sports < $80k,FALSE,BMW,2 Series Gran Coupe / Convertable,2,,,,,,,,,2,2,TRUE,1,4
2022,June,Sports < $80k,FALSE,Ford,Mustang,15,,,,,,,,,0,0,FALSE,0,15
2022,June,Sports < $80k,FALSE,Mazda,MX-5,3,,,,,,,,,0,0,FALSE,0,3
2022,June,Sports < $80k,FALSE,MINI,Mini Cabrio,7,,,,,,,,,0,0,FALSE,0,7
2022,June,Sports < $80k,FALSE,Subaru,BRZ,8,,,,,,,,,1,0,FALSE,0,9
2022,June,Sports > $80k,FALSE,Audi,A5,,,,,,,,,,2,1,FALSE,0,2
2022,June,Sports > $80k,FALSE,BMW,4 Series Coupe / Convertable,10,,,,,,,,,0,0,FALSE,0,10
2022,June,Sports > $80k,FALSE,BMW,Z4,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Sports > $80k,FALSE,Chevrolet,Corvette Stingray,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Sports > $80k,FALSE,Jaguar,F-Type,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Sports > $80k,FALSE,Mercedes-Benz,C-Class Coupe / Convertable,4,,,,,,,,,4,0,FALSE,0,8
2022,June,Sports > $80k,FALSE,Mercedes-Benz,E-Class Coupe / Convertable,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Sports > $80k,FALSE,Porsche,Boxster,,,,,,,,,,1,1,TRUE,1,1
2022,June,Sports > $80k,FALSE,Porsche,Cayman,2,,,,,,,,,0,0,FALSE,0,2
2022,June,Sports > $80k,FALSE,Toyota,Supra,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Sports > $200k,FALSE,Aston Martin,Aston Coupe / Convertable,2,,,,,,,,,3,3,TRUE,1,5
2022,June,Sports > $200k,FALSE,Bentley,Bently Coupe / Convertable,5,,,,,,,,,0,0,FALSE,0,5
2022,June,Sports > $200k,FALSE,BMW,8 Series,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Sports > $200k,FALSE,Ferrari,Ferrari Coupe / Convertable,4,,,,,,,,,0,0,FALSE,0,4
2022,June,Sports > $200k,FALSE,McLaren,McLaren Coupe / Convertable,4,,,,,,,,,0,0,FALSE,0,4
2022,June,Sports > $200k,FALSE,Porsche,911,11,,,,,,,,,2,2,TRUE,1,13
2022,June,Passenger,TRUE,Mitsubishi,,6,,,,3,,,,,0,0,FALSE,0,9
2022,June,Passenger,TRUE,Ford,,17,,,,,,,,,0,0,FALSE,0,17
2022,June,Passenger,TRUE,Honda,,18,,,,,,,,,1,0,FALSE,0,19
2022,June,Passenger,TRUE,Hyundai,,174,,7,10,18,,,,,64,4,FALSE,0,273
2022,June,Passenger,TRUE,Kia,,189,,1,,99,,,,17,25,5,FALSE,0,331
2022,June,Passenger,TRUE,Mazda,,79,,,,,,,,,20,11,FALSE,0,99
2022,June,Passenger,TRUE,MG,,155,,,,18,,1,,,27,4,FALSE,0,201
2022,June,Passenger,TRUE,Nissan,,2,,,,,,,,,0,0,FALSE,0,2
2022,June,Passenger,TRUE,Subaru,,29,,,,,,,,,15,0,FALSE,0,44
2022,June,Passenger,TRUE,Suzuki,,68,,,,,,,,,13,4,FALSE,0,81
2022,June,Passenger,TRUE,Toyota,,128,,,,27,,2,,6,36,13,FALSE,0,199
2022,June,Passenger,TRUE,Volkswagen,,29,,,,,,,,,4,2,FALSE,0,33
2022,June,SUV Light,FALSE,Ford,Puma,1,,,,,6,,,,9,9,TRUE,1,16
2022,June,SUV Light,FALSE,Hyundai,Venue,51,,5,,37,,,,,1,1,TRUE,1,94
2022,June,SUV Light,FALSE,Kia,Stonic,37,,,,57,,,,,3,2,FALSE,0,97
2022,June,SUV Light,FALSE,Mazda,CX-3,71,,,,,,,,,12,4,FALSE,0,83
2022,June,SUV Light,FALSE,Nissan,Juke,7,,,,,,,,1,5,3,FALSE,0,13
2022,June,SUV Light,FALSE,Renault,Captur,6,,,,,,,,,4,4,TRUE,1,10
2022,June,SUV Light,FALSE,Suzuki,Ignis,7,,,,,,,,,2,1,FALSE,0,9
2022,June,SUV Light,FALSE,Suzuki,Jimny,14,,,,,,,,,4,2,FALSE,0,18
2022,June,SUV Light,FALSE,Toyota,Yaris Cross,42,,,,10,3,,,1,9,0,FALSE,0,65
2022,June,SUV Light,FALSE,Volkswagen,T-Cross,35,,,,,,,,,1,0,FALSE,0,36
2022,June,SUV Small < $40k,FALSE,GWM,Haval Jolion,71,,,,1,,,,,7,2,FALSE,0,79
2022,June,SUV Small < $40k,FALSE,Honda,HR-V,52,,,,,,,,,0,0,FALSE,0,52
2022,June,SUV Small < $40k,FALSE,Hyundai,Kona,85,,12,1,3,,,,1,7,2,FALSE,0,109
2022,June,SUV Small < $40k,FALSE,Jeep,Compass,3,,,,,,,,,22,21,FALSE,0,25
2022,June,SUV Small < $40k,FALSE,Kia,Niro,4,,,,,,,,,2,2,TRUE,1,6
2022,June,SUV Small < $40k,FALSE,Kia,Seltos,69,,,,,,,,,4,0,FALSE,0,73
2022,June,SUV Small < $40k,FALSE,Mazda,CX-30,102,,,,,,,,,20,8,FALSE,0,122
2022,June,SUV Small < $40k,FALSE,Mazda,MX-30,3,,,,,,,,,1,1,TRUE,1,4
2022,June,SUV Small < $40k,FALSE,MG,MG ZS,212,,,,,5,,,,19,8,FALSE,0,236
2022,June,SUV Small < $40k,FALSE,Mitsubishi,ASX,44,,,,8,17,,,17,13,3,FALSE,0,99
2022,June,SUV Small < $40k,FALSE,Mitsubishi,Eclipse Cross,22,,,,3,2,,,10,15,1,FALSE,0,52
2022,June,SUV Small < $40k,FALSE,Peugeot,2008,1,,,,,,,,,2,2,TRUE,1,3
2022,June,SUV Small < $40k,FALSE,Renault,Renault Arkana,11,,,,,,,,,4,4,TRUE,1,15
2022,June,SUV Small < $40k,FALSE,Skoda,Kamiq,6,,,,,,,,,8,8,TRUE,1,14
2022,June,SUV Small < $40k,FALSE,Subaru,Subaru XV,42,,,,,,,,,7,0,FALSE,0,49
2022,June,SUV Small < $40k,FALSE,Suzuki,Vitara,7,,,,,,,,,0,0,FALSE,0,7
2022,June,SUV Small < $40k,FALSE,Toyota,C-HR,46,,,,,,,,,6,1,FALSE,0,52
2022,June,SUV Small < $40k,FALSE,Volkswagen,T-Roc,12,,,,,,,,1,1,0,FALSE,0,14
2022,June,SUV Small > $40k,FALSE,Audi,Q2,2,,,,,,,,,1,0,FALSE,0,3
2022,June,SUV Small > $40k,FALSE,Audi,Q3,25,,,,,,,,,9,1,FALSE,0,34
2022,June,SUV Small > $40k,FALSE,BMW,X1,28,,,,,,,,,2,2,TRUE,1,30
2022,June,SUV Small > $40k,FALSE,BMW,X2,5,,,,,,,,,1,1,TRUE,1,6
2022,June,SUV Small > $40k,FALSE,Jaguar,E-Pace,1,,,,,,,,,3,1,FALSE,0,4
2022,June,SUV Small > $40k,FALSE,Lexus,Lexus UX,5,,,,,,,,,5,1,FALSE,0,10
