Year,Month,Category,Electric,Make,Model,Customer Category,Qty
2022,June,Micro,FALSE,Fiat,500/Abarth,Private,4
2022,June,Micro,FALSE,Kia,Picanto,Private,20
2022,June,Micro,FALSE,Kia,Picanto,Rental,39
2022,June,Micro,FALSE,Kia,Picanto,Fleet,2
2022,June,Micro,FALSE,Kia,Picanto,59 (Unknown),1
2022,June,Micro,FALSE,Mitsubishi,Mirage,Private,6
2022,June,Micro,FALSE,Mitsubishi,Mirage,Rental,3
2022,June,Light < $25k,FALSE,Hyundai,i20,Private,1
2022,June,Light < $25k,FALSE,Kia,Rio,Private,34
2022,June,Light < $25k,FALSE,Kia,Rio,Rental,5
2022,June,Light < $25k,FALSE,Kia,Rio,Fleet,3
2022,June,Light < $25k,FALSE,Kia,Rio,59 (Unknown),1
2022,June,Light < $25k,FALSE,Mazda,Mazda 2,Private,23
2022,June,Light < $25k,FALSE,Mazda,Mazda 2,Fleet,9
2022,June,Light < $25k,FALSE,Mazda,Mazda 2,59 (Unknown),5
2022,June,Light < $25k,FALSE,MG,MG 3,Private,155
2022,June,Light < $25k,FALSE,MG,MG 3,Rental,18
2022,June,Light < $25k,FALSE,MG,MG 3,Company Capitalisation,1
2022,June,Light < $25k,FALSE,MG,MG 3,Fleet,27
2022,June,Light < $25k,FALSE,MG,MG 3,59 (Unknown),4
2022,June,Light < $25k,FALSE,Skoda,Fabia,Private,0
2022,June,Light < $25k,FALSE,Skoda,Fabia,Fleet,1
2022,June,Light < $25k,FALSE,Suzuki,Baleno,Private,20
2022,June,Light < $25k,FALSE,Suzuki,Baleno,Fleet,5
2022,June,Light < $25k,FALSE,Suzuki,Baleno,59 (Unknown),2
2022,June,Light < $25k,FALSE,Suzuki,Swift,Private,48
2022,June,Light < $25k,FALSE,Suzuki,Swift,Fleet,8
2022,June,Light < $25k,FALSE,Suzuki,Swift,59 (Unknown),2
2022,June,Light < $25k,FALSE,Toyota,Yaris,Private,10
2022,June,Light < $25k,FALSE,Toyota,Yaris,Rental,10
2022,June,Light < $25k,FALSE,Toyota,Yaris,Fleet - Large,1
2022,June,Light < $25k,FALSE,Toyota,Yaris,Fleet,3
2022,June,Light < $25k,FALSE,Toyota,Yaris,59 (Unknown),1
2022,June,Light < $25k,FALSE,Volkswagen,Polo,Private,12
2022,June,Light < $25k,FALSE,Volkswagen,Polo,Fleet,2
2022,June,Light < $25k,FALSE,Volkswagen,Polo,59 (Unknown),1
2022,June,Light > $25k,FALSE,Audi,A1,Private,3
2022,June,Light > $25k,FALSE,Audi,A1,Fleet,2
2022,June,Light > $25k,FALSE,Audi,A1,59 (Unknown),1
2022,June,Light > $25k,FALSE,Mini,Mini Hatch,Private,18
2022,June,Light > $25k,FALSE,Mini,Mini Hatch,Fleet,1
2022,June,Light > $25k,FALSE,Mini,Mini Hatch,59 (Unknown),1
2022,June,Small < $40k,FALSE,Ford,Focus,Private,2
2022,June,Small < $40k,FALSE,Honda,Civic,Private,7
2022,June,Small < $40k,FALSE,Honda,Civic,Fleet,1
2022,June,Small < $40k,FALSE,Hyundai,i30,Private,156
2022,June,Small < $40k,FALSE,Hyundai,i30,Government - State,6
2022,June,Small < $40k,FALSE,Hyundai,i30,Rental,12
2022,June,Small < $40k,FALSE,Hyundai,i30,Fleet,58
2022,June,Small < $40k,FALSE,Hyundai,i30,59 (Unknown),2
